source_id,source_name,author,title,description,content,url,urlToImage,publishedAt,query,overall_sentiment_score,overall_sentiment_label,category_within_source,source_domain,topics,matched_tickers,ticker_relevance_score,ticker_sentiment_score,ticker_sentiment_label
,TipRanks,,"Intermede Investment Partners trims Apple stake by 35,829 shares","Intermede Investment Partners, managed by Barry Dargan, recently reduced its stake in Apple Inc. (AAPL) by 35,829 shares. Despite this, Apple's stock has seen positive trading with analyst consensus remaining a ""Moderate Buy,"" driven by strong financial performance, an optimistic earnings outlook, and growth potential from AI integration and new products. Spark, TipRanks’ AI Analyst, rates AAPL an ""Outperform"" due to its financial strength and earnings outlook, though it notes some headwinds like valuation and input-cost pressures.","Intermede Investment Partners, managed by Barry Dargan, recently reduced its stake in Apple Inc. (AAPL) by 35,829 shares. Despite this, Apple's stock has seen positive trading with analyst consensus remaining a ""Moderate Buy,"" driven by strong financial performance, an optimistic earnings outlook, and growth potential from AI integration and new products. Spark, TipRanks’ AI Analyst, rates AAPL an ""Outperform"" due to its financial strength and earnings outlook, though it notes some headwinds like valuation and input-cost pressures.",https://www.tipranks.com/news/company-announcements/intermede-investment-partners-trims-apple-stake-by-35829-shares,https://blog.tipranks.com/wp-content/uploads/2022/09/shutterstock_1710247657-1-750x406.jpg,2026-02-11 03:26:50+00:00,AAPL,0.239449,Somewhat-Bullish,General,TipRanks,"financial_markets,technology,earnings",AAPL,1.000000,0.202900,Somewhat-Bullish
,Investing.com Canada,Investing.com,PPG Industries stock hits 52-week high at 129.19 USD By Investing.com,"PPG Industries stock reached a new 52-week high of $129.19, reflecting robust performance with a 14.76% price return over the past year and a 24.53% year-to-date gain. The company's financial health is rated ""GOOD"" by InvestingPro, despite a recent earnings per share miss, with continued interest from financial experts due to its strategic initiatives and market position. PPG maintains a dividend yield of 2.23% and has paid dividends for 56 consecutive years.","PPG Industries stock reached a new 52-week high of $129.19, reflecting robust performance with a 14.76% price return over the past year and a 24.53% year-to-date gain. The company's financial health is rated ""GOOD"" by InvestingPro, despite a recent earnings per share miss, with continued interest from financial experts due to its strategic initiatives and market position. PPG maintains a dividend yield of 2.23% and has paid dividends for 56 consecutive years.",https://ca.investing.com/news/company-news/ppg-industries-stock-hits-52week-high-at-12919-usd-93CH-4450449,https://i-invdn-com.investing.com/news/world_news_2_69x52._800x533_L_1419494365.jpg,2026-02-11 04:57:18+00:00,AAPL,0.119889,Neutral,General,Investing.com Canada,"earnings,financial_markets,manufacturing",AAPL,0.569882,-0.107673,Neutral
,Yahoo Finance,Zacks Equity Research,Should BNY Mellon US Large Cap Core Equity ETF (BKLC) Be on Your Investing Radar?,"The BNY Mellon US Large Cap Core Equity ETF (BKLC) offers exposure to the US large cap blend equity market and has over $5.18 billion in assets. With a low expense ratio of 0% and a Zacks ETF Rank of 2 (Buy), it is considered a strong option for investors. The fund's top holdings include Nvidia, Apple, and Microsoft, and it has shown positive performance year-to-date and over the last year.","The BNY Mellon US Large Cap Core Equity ETF (BKLC) offers exposure to the US large cap blend equity market and has over $5.18 billion in assets. With a low expense ratio of 0% and a Zacks ETF Rank of 2 (Buy), it is considered a strong option for investors. The fund's top holdings include Nvidia, Apple, and Microsoft, and it has shown positive performance year-to-date and over the last year.",https://finance.yahoo.com/news/bny-mellon-us-large-cap-112001374.html,https://s.yimg.com/ny/api/res/1.2/At7DPt4f8YojVz4wmun4tA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTk2MDtoPTcyMA--/https://media.zenfs.com/en/zacks.com/105b2acef7bf0873f24b78932b1fdc3c,2026-02-11 06:20:00+00:00,AAPL,0.357009,Bullish,General,Yahoo Finance,"financial_markets,finance",AAPL,0.611293,0.306766,Somewhat-Bullish
,Investing.com,Investing.com,"Power Integrations VP Gupta sells $123,717 in shares","Sunil Gupta, VP of Operations at Power Integrations Inc (NASDAQ:POWI), sold 2,673 shares totaling $123,717 on February 9th and 10th. These transactions followed his acquisition of 3,840 shares on February 6th due to a Performance Stock Unit vesting. Despite the sales and an earnings beat in Q4 2025, the company's stock experienced a slight dip, indicating mixed investor sentiment.","Sunil Gupta, VP of Operations at Power Integrations Inc (NASDAQ:POWI), sold 2,673 shares totaling $123,717 on February 9th and 10th. These transactions followed his acquisition of 3,840 shares on February 6th due to a Performance Stock Unit vesting. Despite the sales and an earnings beat in Q4 2025, the company's stock experienced a slight dip, indicating mixed investor sentiment.",https://www.investing.com/news/insider-trading-news/power-integrations-vp-gupta-sells-123717-in-shares-93CH-4498584,https://i-invdn-com.investing.com/news/international_newspapers_69x52._800x533_L_1419494241.jpg,2026-02-11 06:58:25+00:00,AAPL,-0.100074,Neutral,General,Investing.com,"earnings,financial_markets",AAPL,0.528636,-0.230476,Somewhat-Bearish
,MarketBeat,MarketBeat,"ASR Vermogensbeheer N.V. Sells 20,770 Shares of Apple Inc. $AAPL","ASR Vermogensbeheer N.V. reduced its stake in Apple Inc. by 1.0% in the third quarter, selling 20,770 shares, though Apple remains its second-largest holding. Despite this sale, several other institutional investors significantly increased their positions in Apple during recent quarters. The article also provides details on Apple's stock performance, recent earnings, upcoming dividend, and mixed analyst sentiment regarding the company's AI prospects.","ASR Vermogensbeheer N.V. reduced its stake in Apple Inc. by 1.0% in the third quarter, selling 20,770 shares, though Apple remains its second-largest holding. Despite this sale, several other institutional investors significantly increased their positions in Apple during recent quarters. The article also provides details on Apple's stock performance, recent earnings, upcoming dividend, and mixed analyst sentiment regarding the company's AI prospects.",https://www.marketbeat.com/instant-alerts/filing-asr-vermogensbeheer-nv-sells-20770-shares-of-apple-inc-aapl-2026-02-11/,https://www.marketbeat.com/logos/apple-inc-logo-1200x675.png,2026-02-11 08:08:30+00:00,AAPL,0.164301,Somewhat-Bullish,General,MarketBeat,"earnings,financial_markets,technology,finance",AAPL,1.000000,0.315197,Somewhat-Bullish
,MarketBeat,MarketBeat,"Curat Global LLC Has $552,000 Holdings in Apple Inc. $AAPL","Curat Global LLC recently reduced its stake in Apple Inc. by 84.7%, now holding 2,168 shares valued at $552,000. Despite this, several other institutional investors increased their holdings in Apple. Analysts currently have a ""Moderate Buy"" consensus rating for Apple, with a target price of $292.13, and the company recently reported strong quarterly earnings and announced a quarterly dividend.","Curat Global LLC recently reduced its stake in Apple Inc. by 84.7%, now holding 2,168 shares valued at $552,000. Despite this, several other institutional investors increased their holdings in Apple. Analysts currently have a ""Moderate Buy"" consensus rating for Apple, with a target price of $292.13, and the company recently reported strong quarterly earnings and announced a quarterly dividend.",https://www.marketbeat.com/instant-alerts/filing-curat-global-llc-has-552000-holdings-in-apple-inc-aapl-2026-02-11/,https://www.marketbeat.com/logos/apple-inc-logo-1200x675.png,2026-02-11 08:19:50+00:00,AAPL,0.009714,Neutral,General,MarketBeat,"earnings,financial_markets,technology",AAPL,0.314207,0.043178,Neutral
,MarketBeat,MarketBeat,WoodTrust Financial Corp Reduces Stock Holdings in Apple Inc. $AAPL,"WoodTrust Financial Corp has reduced its stake in Apple Inc. by 12.1% in the third quarter, now holding 97,027 shares valued at $24.7 million. Despite this reduction, other institutional investors have increased their holdings, and analysts maintain a ""Moderate Buy"" consensus rating with a target price of $292.13. Apple recently posted strong quarterly earnings, beating analyst expectations, and announced a quarterly dividend of $0.26 per share.","WoodTrust Financial Corp has reduced its stake in Apple Inc. by 12.1% in the third quarter, now holding 97,027 shares valued at $24.7 million. Despite this reduction, other institutional investors have increased their holdings, and analysts maintain a ""Moderate Buy"" consensus rating with a target price of $292.13. Apple recently posted strong quarterly earnings, beating analyst expectations, and announced a quarterly dividend of $0.26 per share.",https://www.marketbeat.com/instant-alerts/filing-woodtrust-financial-corp-reduces-stock-holdings-in-apple-inc-aapl-2026-02-11/,https://www.marketbeat.com/logos/apple-inc-logo-1200x675.png,2026-02-11 08:19:50+00:00,AAPL,0.022441,Neutral,General,MarketBeat,"earnings,financial_markets,technology",AAPL,0.332171,0.001599,Neutral
,MarketBeat,MarketBeat,Baron Silver Stevens Financial Advisors LLC Grows Stock Position in Apple Inc. $AAPL,"Baron Silver Stevens Financial Advisors LLC increased its stake in Apple Inc. by 8.5% in the third quarter, bringing their total holdings to 70,690 shares valued at $18 million. Several other institutional investors also adjusted their positions in Apple. The article also provides a summary of Apple's stock performance, recent earnings, dividend announcement, and analyst ratings, along with a news summary of positive, neutral, and negative sentiments surrounding the company.","Baron Silver Stevens Financial Advisors LLC increased its stake in Apple Inc. by 8.5% in the third quarter, bringing their total holdings to 70,690 shares valued at $18 million. Several other institutional investors also adjusted their positions in Apple. The article also provides a summary of Apple's stock performance, recent earnings, dividend announcement, and analyst ratings, along with a news summary of positive, neutral, and negative sentiments surrounding the company.",https://www.marketbeat.com/instant-alerts/filing-baron-silver-stevens-financial-advisors-llc-grows-stock-position-in-apple-inc-aapl-2026-02-11/,https://www.marketbeat.com/logos/apple-inc-logo-1200x675.png,2026-02-11 08:56:10+00:00,AAPL,0.204809,Somewhat-Bullish,General,MarketBeat,"earnings,financial_markets,technology,finance",AAPL,1.000000,0.411761,Bullish
,MarketBeat,MarketBeat,Great Point Wealth Advisors LLC Purchases New Position in Apple Inc. $AAPL,"Great Point Wealth Advisors LLC has initiated a new position in Apple Inc. (NASDAQ:AAPL), acquiring 17,318 shares valued at approximately $4.41 million, making it their 23rd largest holding. Apple recently surpassed quarterly expectations with strong EPS and revenue growth, and it maintains a ""Moderate Buy"" analyst rating with an average target price near $292. The company also declared a quarterly dividend of $0.26 per share.","Great Point Wealth Advisors LLC has initiated a new position in Apple Inc. (NASDAQ:AAPL), acquiring 17,318 shares valued at approximately $4.41 million, making it their 23rd largest holding. Apple recently surpassed quarterly expectations with strong EPS and revenue growth, and it maintains a ""Moderate Buy"" analyst rating with an average target price near $292. The company also declared a quarterly dividend of $0.26 per share.",https://www.marketbeat.com/instant-alerts/filing-great-point-wealth-advisors-llc-purchases-new-position-in-apple-inc-aapl-2026-02-11/,https://www.marketbeat.com/logos/apple-inc-logo-1200x675.png,2026-02-11 09:38:57+00:00,AAPL,0.479828,Bullish,General,MarketBeat,"earnings,financial_markets,technology",AAPL,1.000000,0.476892,Bullish
,Fortune,Sheryl Estrada,The most unexpected winner of the AI boom? Caterpillar,"Caterpillar, traditionally known for construction vehicles, has emerged as a surprising beneficiary of the AI boom, with its stock doubling in the past year to an all-time high. The company's growing exposure to data centers, energy infrastructure, and AI-related demand, supplying critical equipment rather than developing AI itself, has driven its market capitalization to $347 billion. Its record full-year sales of $67.6 billion and a $51 billion order backlog underscore strong demand and a shift towards energy and power solutions, outperforming tech giants like Apple and Microsoft in stock growth.","Caterpillar, traditionally known for construction vehicles, has emerged as a surprising beneficiary of the AI boom, with its stock doubling in the past year to an all-time high. The company's growing exposure to data centers, energy infrastructure, and AI-related demand, supplying critical equipment rather than developing AI itself, has driven its market capitalization to $347 billion. Its record full-year sales of $67.6 billion and a $51 billion order backlog underscore strong demand and a shift towards energy and power solutions, outperforming tech giants like Apple and Microsoft in stock growth.",https://fortune.com/2026/02/11/the-most-unexpected-winner-of-the-ai-boom-caterpillar/,https://fortune.com/img-assets/wp-content/uploads/2026/02/GettyImages-2254496026.jpg?format=webp&w=1440&q=100,2026-02-11 11:32:57+00:00,AAPL,0.08143,Neutral,General,Fortune,"earnings,financial_markets,economy_macro,energy_transportation,technology",AAPL,0.722810,-0.229331,Somewhat-Bearish
,MarketBeat,MarketBeat,"VeriSign (NASDAQ:VRSN) Upgraded by Zacks Research to ""Hold"" Rating","Zacks Research has upgraded VeriSign (NASDAQ:VRSN) from a ""strong sell"" to a ""hold"" rating. The report highlights that other analysts have also issued ratings, with a consensus ""Hold"" and a target price of $292.00, despite the company missing quarterly earnings estimates but exceeding revenue expectations. Insider selling activity and recent institutional investor movements are also detailed.","Zacks Research has upgraded VeriSign (NASDAQ:VRSN) from a ""strong sell"" to a ""hold"" rating. The report highlights that other analysts have also issued ratings, with a consensus ""Hold"" and a target price of $292.00, despite the company missing quarterly earnings estimates but exceeding revenue expectations. Insider selling activity and recent institutional investor movements are also detailed.",https://www.marketbeat.com/instant-alerts/verisign-nasdaqvrsn-upgraded-by-zacks-research-to-hold-rating-2026-02-11/,https://www.marketbeat.com/logos/verisign-inc-logo-1200x675.png,2026-02-11 12:41:43+00:00,AAPL,0.116553,Neutral,General,MarketBeat,"earnings,financial_markets,technology,finance",AAPL,0.712347,-0.107837,Neutral
,WebProNews,Emma Rogers,Apple’s Japan App Store Shift Allows Third-Party Payments Amid Criticism,"Apple has adjusted its App Store policies in Japan, allowing third-party payments to comply with new competition laws. However, critics and developers argue these changes are largely superficial due to ongoing commissions and technical hurdles, making the alternative economically unviable for many. This move comes amid increasing global regulatory scrutiny of Apple's App Store practices, with many claiming it merely repackages existing monopolistic controls rather than dismantling them.","Apple has adjusted its App Store policies in Japan, allowing third-party payments to comply with new competition laws. However, critics and developers argue these changes are largely superficial due to ongoing commissions and technical hurdles, making the alternative economically unviable for many. This move comes amid increasing global regulatory scrutiny of Apple's App Store practices, with many claiming it merely repackages existing monopolistic controls rather than dismantling them.",https://www.webpronews.com/apples-japan-app-store-shift-allows-third-party-payments-amid-criticism/,https://www.webpronews.com/wp-content/uploads/2023/07/newlogotest.png,2026-02-11 12:42:00+00:00,AAPL,-0.136982,Neutral,General,WebProNews,"technology,economy_fiscal,finance",AAPL,1.000000,-0.216634,Somewhat-Bearish
,Insider Monkey,Insider Monkey Transcripts,Spotify Technology S.A. (NYSE:SPOT) Q4 2025 Earnings Call Transcript,"Spotify Technology S.A. (NYSE:SPOT) reported strong Q4 2025 earnings, beating expectations with a reported EPS of $5.2 against an expected $3.21. The earnings call highlighted robust MAU growth, record Wrapped engagement, and substantial payouts to music rights holders, totaling nearly $70 billion since the company's founding. Discussions heavily featured Spotify's strategic embrace of AI to enhance personalization, drive user engagement, and transform internal processes, positioning the company as a leading intelligent media platform.","Spotify Technology S.A. (NYSE:SPOT) reported strong Q4 2025 earnings, beating expectations with a reported EPS of $5.2 against an expected $3.21. The earnings call highlighted robust MAU growth, record Wrapped engagement, and substantial payouts to music rights holders, totaling nearly $70 billion since the company's founding. Discussions heavily featured Spotify's strategic embrace of AI to enhance personalization, drive user engagement, and transform internal processes, positioning the company as a leading intelligent media platform.",https://www.insidermonkey.com/blog/spotify-technology-s-a-nysespot-q4-2025-earnings-call-transcript-1693360/,https://imonkey-blog.imgix.net/blog/wp-content/uploads/2023/09/22101336/SPOT-insidermonkey-1695392013779.jpg?auto=format&fit=clip&expires=1802304000&width=480&height=269,2026-02-11 12:58:05+00:00,AAPL,0.244116,Somewhat-Bullish,General,Insider Monkey,"earnings,technology,finance",AAPL,0.554399,0.100782,Neutral
,24/7 Wall St.,Austin Smith,"VV Handidly Beat the S&P 500, And Only Charges 0.04%","The Vanguard Large-Cap ETF (VV) has outperformed the S&P 500 over five years, boasting an 86.22% return compared to the S&P 500's 78.13%. With an ultra-low expense ratio of 0.04% and a portfolio heavily weighted in mega-cap tech stocks like NVIDIA, Apple, and Microsoft, VV offers broad U.S. large-cap exposure. While it provides strong long-term growth and a steady dividend, investors should be aware of its concentration and sector risks, particularly its heavy exposure to the technology sector.","The Vanguard Large-Cap ETF (VV) has outperformed the S&P 500 over five years, boasting an 86.22% return compared to the S&P 500's 78.13%. With an ultra-low expense ratio of 0.04% and a portfolio heavily weighted in mega-cap tech stocks like NVIDIA, Apple, and Microsoft, VV offers broad U.S. large-cap exposure. While it provides strong long-term growth and a steady dividend, investors should be aware of its concentration and sector risks, particularly its heavy exposure to the technology sector.",https://247wallst.com/investing/2026/02/11/vv-handidly-beat-the-sp-500-and-only-charges-0-04/,https://247wallst.com/wp-content/uploads/2024/02/GettyImages-1414392-1-scaled.jpg,2026-02-11 12:58:12+00:00,AAPL,0.371017,Bullish,General,24/7 Wall St.,"financial_markets,finance,economy_macro,technology",AAPL,0.608915,0.341926,Somewhat-Bullish
,9to5Mac,Chance Miller,Kuzu database company joins Apple’s list of recent acquisitions,"Apple recently acquired Kuzu, a database company, adding it to a list of acquisitions that includes the AI startup Q.ai and several others reported to the European Union under the Digital Markets Act. Kuzu's LinkedIn describes it as an ""embedded graph database,"" and its acquisition, likely a relatively small deal, occurred in October. The article also provides a rundown of other acquisitions Apple made in 2025, as reported by the EU.","Apple recently acquired Kuzu, a database company, adding it to a list of acquisitions that includes the AI startup Q.ai and several others reported to the European Union under the Digital Markets Act. Kuzu's LinkedIn describes it as an ""embedded graph database,"" and its acquisition, likely a relatively small deal, occurred in October. The article also provides a rundown of other acquisitions Apple made in 2025, as reported by the EU.",https://9to5mac.com/2026/02/11/kuzu-database-company-joins-apples-list-of-recent-acquisitions/,https://9to5mac.com/wp-content/uploads/sites/6/2023/12/Apple-Park.jpg?quality=82&strip=all&w=1600,2026-02-11 13:58:19+00:00,AAPL,0.341089,Somewhat-Bullish,General,9to5Mac,"mergers_and_acquisitions,technology",AAPL,1.000000,0.338429,Somewhat-Bullish
,PR Newswire,,"PayPal Issues Disappointing 2026 Outlook, Citing Competitive Pressures and Macro Headwinds; Investigation Probes Timing of Risk Disclosures","Levi & Korsinsky, LLP is investigating PayPal Holdings, Inc. following its weaker-than-expected 2026 financial outlook, which projects a decline in transaction margin dollars and significantly decelerated revenue growth. The firm is examining whether PayPal's management timely disclosed material information regarding competitive pressures and macro headwinds, given the substantial drop in share price after the guidance was released. Shareholders who suffered losses are encouraged to contact the firm for a case evaluation.","Levi & Korsinsky, LLP is investigating PayPal Holdings, Inc. following its weaker-than-expected 2026 financial outlook, which projects a decline in transaction margin dollars and significantly decelerated revenue growth. The firm is examining whether PayPal's management timely disclosed material information regarding competitive pressures and macro headwinds, given the substantial drop in share price after the guidance was released. Shareholders who suffered losses are encouraged to contact the firm for a case evaluation.",https://www.prnewswire.com/news-releases/paypal-issues-disappointing-2026-outlook-citing-competitive-pressures-and-macro-headwinds-investigation-probes-timing-of-risk-disclosures-302680880.html,https://mma.prnewswire.com/media/2280334/Levi_and_Korsinsky_Logo.jpg?w=300,2026-02-11 14:02:26+00:00,AAPL,-0.162822,Somewhat-Bearish,General,PR Newswire,"earnings,financial_markets,economy_macro,finance,technology",AAPL,0.603524,0.106577,Neutral
,Information Week,Mary K. Pratt,"IT Leaders Fast-5: Ryan Downing, CIO, Principal Financial Group","Ryan Downing, CIO of enterprise business solutions at Principal Financial Group, discusses how AI is transforming IT and business operations. He emphasizes the need for organizational resilience, investing in enterprise-wide AI literacy, and evolving platform strategies to adapt to the rapid advancements in AI models. Downing also shares insights on reevaluating AI solutions, addressing uneven team fundamentals, and considering radical ideas like data centers in space to overcome technological constraints.","Ryan Downing, CIO of enterprise business solutions at Principal Financial Group, discusses how AI is transforming IT and business operations. He emphasizes the need for organizational resilience, investing in enterprise-wide AI literacy, and evolving platform strategies to adapt to the rapid advancements in AI models. Downing also shares insights on reevaluating AI solutions, addressing uneven team fundamentals, and considering radical ideas like data centers in space to overcome technological constraints.",https://www.informationweek.com/it-leadership/it-leaders-fast-5-ryan-downing-cio-principal-financial-group,https://eu-images.contentstack.com/v3/assets/blt69509c9116440be8/blt7dfe0b59b088775d/698b996c998ff3aed6c41014/021126_IWK_Fast5Principal.Alamy.jpg?width=1280&auto=webp&quality=80&format=jpg&disable=upscale,2026-02-11 14:56:49+00:00,AAPL,0.188706,Somewhat-Bullish,General,Information Week,technology,AAPL,0.738240,0.112880,Neutral
,Benzinga,"Benzinga Insights, Benzinga Staff Writer","Analyzing Apple In Comparison To Competitors In Technology Hardware, Storage & Peripherals Industry","This article analyzes Apple's financial performance and market position within the Technology Hardware, Storage & Peripherals industry by comparing it to its peers. It examines Apple's debt-to-equity ratio, valuation metrics (P/E, P/B, P/S), profitability (ROE, EBITDA, Gross Profit), and revenue growth. The analysis suggests that while Apple demonstrates strong profitability and efficient resource utilization, its revenue growth is lagging behind the industry average.","This article analyzes Apple's financial performance and market position within the Technology Hardware, Storage & Peripherals industry by comparing it to its peers. It examines Apple's debt-to-equity ratio, valuation metrics (P/E, P/B, P/S), profitability (ROE, EBITDA, Gross Profit), and revenue growth. The analysis suggests that while Apple demonstrates strong profitability and efficient resource utilization, its revenue growth is lagging behind the industry average.",https://www.benzinga.com/insights/news/26/02/50543622/analyzing-apple-in-comparison-to-competitors-in-technology-hardware-storage-amp-peripherals-industr,https://cdn.benzinga.com/files/images/story/2025/11/06/earnings_preview_2.jpg?quality=85&auto=webp&width=850,2026-02-11 15:03:39+00:00,AAPL,0.233121,Somewhat-Bullish,General,Benzinga,"earnings,financial_markets,technology",AAPL,1.000000,0.094283,Neutral
,MacDailyNews,,"Bad Bunny’s Apple Music Super Bowl LX Halftime Show sees 39% household viewership drop vs. last year, Samba TV data shows","Samba TV data indicates that Bad Bunny's Apple Music Super Bowl LX Halftime Show drew 26.5 million U.S. households, a 39% decrease compared to Kendrick Lamar's 2025 performance. Despite this, Nielsen reported 128.2 million viewers for Bad Bunny’s show, a figure only slightly lower than the previous year and representing the second-most-watched Super Bowl telecast in U.S. history. The show, largely in Spanish, was the most-watched Super Bowl halftime in Spanish-language history.","Samba TV data indicates that Bad Bunny's Apple Music Super Bowl LX Halftime Show drew 26.5 million U.S. households, a 39% decrease compared to Kendrick Lamar's 2025 performance. Despite this, Nielsen reported 128.2 million viewers for Bad Bunny’s show, a figure only slightly lower than the previous year and representing the second-most-watched Super Bowl telecast in U.S. history. The show, largely in Spanish, was the most-watched Super Bowl halftime in Spanish-language history.",https://macdailynews.com/2026/02/11/bad-bunnys-apple-music-super-bowl-lx-halftime-show-sees-39-household-viewership-drop-vs-last-year-samba-tv-data-shows/,https://i0.wp.com/macdailynews.com/wp-content/uploads/2026/02/260211_bad_bunny.png?resize=640%2C427&ssl=1,2026-02-11 16:27:09+00:00,AAPL,0.041513,Neutral,General,MacDailyNews,technology,AAPL,0.905404,0.022057,Neutral
,ETF Database,Todd Shriber,"With Apple Allure Intact, Consider Trading This ETF","Shares of Apple (AAPL) have risen 6% in the last month due to a strong fourth-quarter earnings report, driven by better-than-expected iPhone sales and investor confidence in its AI plans. This rally presents a potential opportunity for traders with the Direxion Daily AAPL Bull 2X Shares (AAPU), a leveraged ETF designed for short-term tactical trading. Future catalysts for AAPU could include continued iPhone sales growth, improved gross margins, and further clarity on Apple's AI strategy, such as its partnership with Google's Gemini.","Shares of Apple (AAPL) have risen 6% in the last month due to a strong fourth-quarter earnings report, driven by better-than-expected iPhone sales and investor confidence in its AI plans. This rally presents a potential opportunity for traders with the Direxion Daily AAPL Bull 2X Shares (AAPU), a leveraged ETF designed for short-term tactical trading. Future catalysts for AAPU could include continued iPhone sales growth, improved gross margins, and further clarity on Apple's AI strategy, such as its partnership with Google's Gemini.",https://etfdb.com/leveraged-inverse-content-hub/apple-allure-intact-consider-trading-aapu/,https://etfdb.com/media/W1siZiIsIjIwMjUvMDkvMDUvOGtkeXE2NzVwZl9MZXZlcmFnZWRfSW52ZXJzZV9EaXJleGlvbl9tYXN0aGVhZF9vdmVybGF5XzE2MDB4MTIxXzJ4LnBuZyJdXQ/Leveraged_Inverse_Direxion_masthead_overlay_1600x121%402x.png,2026-02-11 16:58:17+00:00,AAPL,0.273438,Somewhat-Bullish,General,ETF Database,"earnings,financial_markets,technology",AAPL,1.000000,0.642984,Bullish
,Finviz,Derek Lewis,These 3 Companies Shattered Quarterly Records,"Apple, Eaton, and SoFi Technologies recently announced record-breaking quarterly results for Q4 2025. Apple reported new highs in revenue, EPS, iPhone sales, and Services revenue. Eaton achieved record adjusted EPS and quarterly sales, driven by accelerating orders and backlog growth, while SoFi recorded all-time highs in new member additions, fee-based revenue, and loan originations.","Apple, Eaton, and SoFi Technologies recently announced record-breaking quarterly results for Q4 2025. Apple reported new highs in revenue, EPS, iPhone sales, and Services revenue. Eaton achieved record adjusted EPS and quarterly sales, driven by accelerating orders and backlog growth, while SoFi recorded all-time highs in new member additions, fee-based revenue, and loan originations.",https://finviz.com/news/307786/these-3-companies-shattered-quarterly-records,,2026-02-11 17:23:12+00:00,AAPL,0.631939,Bullish,General,Finviz,"earnings,financial_markets,technology,finance",AAPL,1.000000,0.731696,Bullish
,Benzinga,"Benzinga Insights, Benzinga Staff Writer",10 Information Technology Stocks With Whale Alerts In Today's Session,"This article identifies ten Information Technology stocks, including Apple and NVIDIA, that have triggered ""whale alerts"" due to unusual options trading activity. These alerts signify large-scale transactions by entities holding significant capital, which can indicate potential market movements. The article provides a detailed breakdown of specific call and put option activities, their sentiment (bullish, bearish, neutral), expiration dates, strike prices, and associated costs for each listed company.","This article identifies ten Information Technology stocks, including Apple and NVIDIA, that have triggered ""whale alerts"" due to unusual options trading activity. These alerts signify large-scale transactions by entities holding significant capital, which can indicate potential market movements. The article provides a detailed breakdown of specific call and put option activities, their sentiment (bullish, bearish, neutral), expiration dates, strike prices, and associated costs for each listed company.",https://www.benzinga.com/insights/options/26/02/50551978/10-information-technology-stocks-with-whale-alerts-in-todays-session,https://cdn.benzinga.com/files/images/story/2025/11/06/aggregated_options_1.jpg?quality=85&auto=webp&width=850,2026-02-11 17:37:12+00:00,AAPL,-0.029106,Neutral,General,Benzinga,"financial_markets,technology",AAPL,0.770471,-0.345169,Somewhat-Bearish
,CNBC,,"Final Trades: Palo Alto Networks, Millrose Properties, Visa and Apple","The article features the ""Halftime Report Final Trades"" segment, where the Investment Committee provides their top stock picks for the second half of the trading day. The specific stocks highlighted in the title are Palo Alto Networks, Millrose Properties, Visa, and Apple. The content includes a video segment, but the main text is a brief introduction to the committee's recommendations.","The article features the ""Halftime Report Final Trades"" segment, where the Investment Committee provides their top stock picks for the second half of the trading day. The specific stocks highlighted in the title are Palo Alto Networks, Millrose Properties, Visa, and Apple. The content includes a video segment, but the main text is a brief introduction to the committee's recommendations.",https://www.cnbc.com/video/2026/02/11/final-trades-palo-alto-networks-millrose-properties-visa-and-apple.html,https://image.cnbcfm.com/api/v1/image/108264582-17708328791770832876-43972862986-1080pnbcnews.jpg?v=1770832878&w=750&h=422&vtcrop=y,2026-02-11 17:56:55+00:00,AAPL,0.164021,Somewhat-Bullish,General,CNBC,"financial_markets,technology,finance,real_estate,economy_macro",AAPL,0.800928,0.114478,Neutral
,24/7 Wall St.,Joel South,Apple Just Paid Investors And This Is AAPL’s Dividend Grade,"Apple (AAPL) recently paid a quarterly dividend of $0.26 per share, maintaining an A- dividend grade due to strong coverage ratios and cash generation, despite a yield below market averages. The company prioritizes capital appreciation and share buybacks, with a 13.06% payout ratio and substantial operating cash flow ensuring dividend safety and growth potential for long-term investors. While its yield is low, Apple's significant stock performance and robust financials make its dividend secure and suitable for growth-oriented portfolios.","Apple (AAPL) recently paid a quarterly dividend of $0.26 per share, maintaining an A- dividend grade due to strong coverage ratios and cash generation, despite a yield below market averages. The company prioritizes capital appreciation and share buybacks, with a 13.06% payout ratio and substantial operating cash flow ensuring dividend safety and growth potential for long-term investors. While its yield is low, Apple's significant stock performance and robust financials make its dividend secure and suitable for growth-oriented portfolios.",https://247wallst.com/investing/2026/02/11/apple-just-paid-investors-and-this-is-aapls-dividend-grade/,https://247wallst.com/wp-content/uploads/2019/10/imageforentry100-x6d.jpg,2026-02-11 18:13:10+00:00,AAPL,0.107527,Neutral,General,24/7 Wall St.,"earnings,financial_markets,technology,finance",AAPL,0.954085,0.420816,Bullish
